TSDone,DocNum,ItemCode,BatchNum,Project,QCScore,Itemcount,Temperature,Brix,PoundsPressure,Color,Discoloration,InsectPresenceFrass,Softness,Bruising,Decay,DehydrationShrivel,AbnormalSoftness,UnhealedCutsSplits,Undersized,Oversized,InsectDamage,Scarring,DocType
 01/24/2017,280402,ENG,479803,MUL,60,150,56,0,0.00,0,0,0,0,0,0,0,0,0,0,0,150,33,PO
 01/24/2017,48785,ZGX,479579,TEP,92,150,51,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,50,IM
 01/24/2017,48785,ZGF,479581,TEP,90,150,51,0,0.00,0,10,0,0,0,0,0,0,0,0,0,0,40,IM
 01/24/2017,48785,CHF,479650,BCN,85,150,48,6,0.00,0,0,0,15,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,280402,ENG,479804,MUL,63,150,54,0,0.00,0,0,0,0,0,0,9,0,0,0,0,97,38,PO
 01/24/2017,48785,ZBX,479619,TEP,82,150,51,0,0.00,0,40,0,0,0,0,0,0,0,0,0,0,30,IM
 01/24/2017,280402,SNO,479801,MUL,90,150,50,0,0.00,0,0,0,0,0,0,0,0,0,0,0,62,0,PO
 01/24/2017,48785,ZBX,479621,BCN,83,150,48,0,0.00,0,20,0,0,0,0,0,0,0,0,0,0,60,IM
 01/24/2017,48785,ZBM,479618,TEP,89,150,50,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,65,IM
 01/24/2017,48785,ZBM,479622,BCN,85,150,50,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,90,IM
 01/24/2017,280402,SUG,479798,MUL,66,150,49,0,0.00,0,29,0,0,0,0,0,0,0,0,0,110,37,PO
 01/24/2017,48785,SUG,479651,BCN,83,150,49,0,0.00,0,0,0,0,0,0,0,0,0,0,0,100,0,IM
 01/24/2017,280402,SUG,479796,MUL,60,150,47,0,0.00,0,27,0,0,0,0,0,0,0,0,0,150,34,PO
 01/24/2017,48785,SNO,479652,BCN,32,150,49,0,0.00,0,100,0,0,0,0,0,0,0,0,0,60,150,IM
 01/24/2017,280402,SUG,479794,MUL,69,150,51,0,0.00,0,0,0,0,0,0,0,0,0,0,0,150,34,PO
